,Quarter,Time,Tm,Detail,NWE,IND
0,2,,Patriots,Hason Graham 31 yard pass from Drew Bledsoe (Matt Bahr kick),7,0
1,3,,Colts,Floyd Turner 13 yard pass from Jim Harbaugh (Cary Blanchard kick),7,7
2,4,,Colts,Cary Blanchard 30 yard field goal,7,10
