,Quarter,Tm,Detail,LAB,CAN
0,2.0,Bulldogs,Cliff Marker fumble recovery in end zone (Pete Henry kick),0,7
1,2.0,Buccaneers,Tut Imlay 30 yard pass from Tuffy Maul,6,7
2,3.0,Bulldogs,Harry Robb unknown yard rush,6,13
3,3.0,Buccaneers,Tuffy Maul 1 yard rush (Tuffy Maul kick),13,13
4,4.0,Buccaneers,Tuffy Maul 17 yard field goal,16,13
