,Quarter,Time,Tm,Detail,IND,JAX
0,1.0,12:19,Jaguars,Maurice Jones-Drew 18 yard rush (Josh Scobee kick),0,7
1,1.0,6:05,Colts,Adam Vinatieri 41 yard field goal,3,7
2,2.0,8:18,Colts,Dominic Rhodes 1 yard rush (Adam Vinatieri kick),10,7
3,2.0,5:45,Jaguars,Fred Taylor 21 yard rush (Josh Scobee kick),10,14
4,2.0,1:17,Jaguars,Maurice Jones-Drew 48 yard rush (Josh Scobee kick),10,21
5,2.0,0:00,Jaguars,Josh Scobee 48 yard field goal,10,24
6,3.0,14:48,Jaguars,Maurice Jones-Drew 93 yard kickoff return (Josh Scobee kick),10,31
7,3.0,11:07,Jaguars,Josh Scobee 34 yard field goal,10,34
8,3.0,0:22,Jaguars,Josh Scobee 46 yard field goal,10,37
9,4.0,11:13,Colts,Peyton Manning 1 yard rush (Adam Vinatieri kick),17,37
10,4.0,3:59,Jaguars,Alvin Pearman 6 yard rush (Josh Scobee kick),17,44
