,Quarter,Tm,Detail,NOR,DET
0,2.0,Saints,Morten Andersen 50 yard field goal,3,0
1,2.0,Lions,Brett Perriman 7 yard pass from Rodney Peete (Jason Hanson kick),3,7
2,3.0,Saints,Vaughn Dunbar 1 yard rush (Morten Andersen kick),10,7
3,4.0,Saints,Morten Andersen 20 yard field goal,13,7
