,Quarter,Tm,Detail,CLE,NYG
0,1.0,Browns,Ray Renfro 38 yard pass from Milt Plum (Lou Groza kick),7,0
1,1.0,Giants,Frank Gifford 9 yard rush (Ben Agajanian kick),7,7
2,1.0,Giants,Frank Gifford 21 yard pass from Don Heinrich (Ben Agajanian kick),7,14
3,2.0,Browns,Jim Brown 20 yard rush (Lou Groza kick),14,14
4,2.0,Giants,Don Heinrich 7 yard rush (Ben Agajanian kick),14,21
5,2.0,Browns,Lou Groza 15 yard field goal,17,21
6,3.0,Browns,Preston Carpenter 35 yard rush (Lou Groza kick),24,21
7,4.0,Browns,Lou Groza 15 yard field goal,27,21
8,4.0,Giants,Alex Webster 1 yard rush (Ben Agajanian kick),27,28
9,4.0,Browns,Lew Carpenter 2 yard rush (Lou Groza kick),34,28
