,Quarter,Time,Tm,Detail,CIN,CLE
0,2.0,12:14,Bengals,Corey Dillon 1 yard rush (Neil Rackers kick),7,0
1,3.0,9:53,Bengals,Neil Rackers 39 yard field goal,10,0
2,3.0,1:56,Browns,Phil Dawson 18 yard field goal,10,3
3,4.0,8:26,Bengals,"Safety,",12,3
