,Quarter,Tm,Detail,PHI,TAM
0,1.0,Eagles,Mike Quick 37 yard pass from Randall Cunningham (Dean Dorsey kick),7,0
1,1.0,Eagles,Anthony Toney 2 yard rush (Dean Dorsey kick),14,0
2,1.0,Eagles,Keith Jackson 8 yard pass from Randall Cunningham (Dean Dorsey kick),21,0
3,2.0,Eagles,Dean Dorsey 23 yard field goal,24,0
4,2.0,Eagles,Dean Dorsey 26 yard field goal,27,0
5,2.0,Eagles,Randall Cunningham 2 yard rush (Dean Dorsey kick),34,0
6,3.0,Buccaneers,Bruce Hill 42 yard pass from Vinny Testaverde (Donald Igwebuike kick),34,7
7,3.0,Eagles,Terry Hoage 38 yard rush (Dean Dorsey kick),41,7
8,3.0,Buccaneers,Mark Carrier 59 yard pass from Vinny Testaverde (Donald Igwebuike kick),41,14
