,Quarter,Tm,Detail,PHI,NYJ
0,1.0,Eagles,Anthony Toney 3 yard rush (Paul McFadden kick),7,0
1,1.0,Eagles,Paul McFadden 38 yard field goal,10,0
2,1.0,Jets,Pat Leahy 42 yard field goal,10,3
3,2.0,Jets,Kurt Sohn 9 yard pass from Ken O'Brien (Pat Leahy kick),10,10
4,2.0,Jets,Roger Vick 5 yard rush (Pat Leahy kick),10,17
5,2.0,Eagles,Mike Quick 45 yard pass from Randall Cunningham (Paul McFadden kick),17,17
6,2.0,Eagles,Mike Quick 13 yard pass from Randall Cunningham (Paul McFadden kick),24,17
7,2.0,Jets,Pat Leahy 29 yard field goal,24,20
8,3.0,Eagles,Keith Byars 2 yard rush (Paul McFadden kick),31,20
9,3.0,Eagles,Cris Carter 14 yard pass from Randall Cunningham (Paul McFadden kick),38,20
10,4.0,Jets,Al Toon 51 yard pass from Ken O'Brien (Pat Leahy kick),38,27
