,Quarter,Tm,Detail,DAL,STL
0,1.0,Cowboys,Toni Fritsch 27 yard field goal,3,0
1,2.0,Cardinals,Jim Bakken 41 yard field goal,3,3
2,2.0,Cardinals,Dave Williams 11 yard pass from Jim Hart (Jim Bakken kick),3,10
3,3.0,Cowboys,Toni Fritsch 14 yard field goal,6,10
4,4.0,Cowboys,Mike Ditka 4 yard pass from Roger Staubach (Dan Reeves run),13,10
5,4.0,Cardinals,Jim Bakken 36 yard field goal,13,13
6,4.0,Cowboys,Toni Fritsch 26 yard field goal,16,13
