,Quarter,Time,Tm,Detail,SEA,ARI
0,1.0,5:22,Seahawks,Bryce Brown 1 yard rush (Stephen Hauschka kick),7,0
1,1.0,3:08,Seahawks,Stephen Hauschka 52 yard field goal,10,0
2,2.0,11:59,Cardinals,Larry Fitzgerald 17 yard pass from Carson Palmer (Chandler Catanzaro kick failed),10,6
3,2.0,6:02,Seahawks,Will Tukuafu 7 yard pass from Russell Wilson (Stephen Hauschka kick),17,6
4,2.0,3:51,Seahawks,Chase Coffman 8 yard pass from Russell Wilson (Stephen Hauschka kick),24,6
5,2.0,2:08,Seahawks,Jermaine Kearse 24 yard pass from Russell Wilson (Stephen Hauschka kick failed),30,6
6,3.0,9:39,Seahawks,Stephen Hauschka 33 yard field goal,33,6
7,3.0,4:49,Seahawks,Stephen Hauschka 52 yard field goal,36,6
