,Quarter,Tm,Detail,NOR,STL
0,1.0,Saints,Benny Ricardo 44 yard field goal,3,0
1,1.0,Cardinals,Neil Lomax 22 yard rush (Neil O'Donoghue kick),3,7
2,2.0,Cardinals,Wayne Morris 1 yard rush (Neil O'Donoghue kick),3,14
3,2.0,Cardinals,Neil O'Donoghue 41 yard field goal,3,17
4,4.0,Cardinals,Roy Green 44 yard rush (Neil O'Donoghue kick),3,24
5,4.0,Cardinals,Neil O'Donoghue 31 yard field goal,3,27
6,4.0,Cardinals,Neil O'Donoghue 24 yard field goal,3,30
