,Quarter,Time,Tm,Detail,DEN,ATL
0,1.0,,Broncos,Shannon Sharpe 65 yard pass from John Elway (Jason Elam kick),7,0
1,1.0,,Broncos,Willie Green 10 yard pass from John Elway (Terrell Davis run),15,0
2,2.0,,Broncos,Terrell Davis 13 yard rush (Terrell Davis run),23,0
3,2.0,,Falcons,Ed West 1 yard pass from Chris Chandler (Morten Andersen kick),23,7
4,3.0,,Falcons,Bert Emanuel 3 yard pass from Chris Chandler (Morten Andersen kick),23,14
5,3.0,,Broncos,Detron Smith 17 yard pass from John Elway (pass failed),29,14
6,4.0,,Falcons,Jamal Anderson 47 yard pass from Billy Joe Tolliver (Morten Andersen kick),29,21
