,Quarter,Tm,Detail,GNB,CRD
0,2,Cardinals,Bunny Belden 5 yard pass from Ernie Nevers,0,6
1,3,Packers,Herdis McCrary unknown yard rush,6,6
2,4,Cardinals,Ernie Nevers 1 yard rush (Ernie Nevers kick),6,13
