,Quarter,Tm,Detail,PIT,WAS
0,1.0,Redskins,Charley Taylor 60 yard pass from Sonny Jurgensen (Charlie Gogolak kick),0,7
1,1.0,Redskins,Charlie Gogolak 12 yard field goal,0,10
2,2.0,Steelers,Dick Hoak 2 yard rush (Mike Clark kick),7,10
3,2.0,Steelers,Mike Clark 25 yard field goal,10,10
4,3.0,Redskins,Bobby Mitchell 51 yard pass from Sonny Jurgensen (Charlie Gogolak kick),10,17
5,4.0,Redskins,Bobby Mitchell 70 yard pass from Sonny Jurgensen (Charlie Gogolak kick),10,24
