,Quarter,Time,Tm,Detail,CLE,CIN
0,1.0,10:55,Browns,Jordan Norwood 24 yard pass from Colt McCoy (Phil Dawson kick),7,0
1,1.0,0:21,Bengals,Cedric Benson 16 yard rush (Mike Nugent kick),7,7
2,2.0,9:20,Browns,Phil Dawson 32 yard field goal,10,7
3,2.0,0:07,Browns,Greg Little 3 yard pass from Colt McCoy (Phil Dawson kick),17,7
4,3.0,8:51,Bengals,Mike Nugent 23 yard field goal,17,10
5,3.0,3:50,Browns,Phil Dawson 54 yard field goal,20,10
6,3.0,1:22,Bengals,Jermaine Gresham 22 yard pass from Andy Dalton (Mike Nugent kick),20,17
7,4.0,10:57,Bengals,Mike Nugent 40 yard field goal,20,20
8,4.0,0:38,Bengals,Mike Nugent 26 yard field goal,20,23
