,Quarter,Tm,Detail,SFO,RAM
0,3.0,49ers,Willie McGee 36 yard pass from Jim Plunkett (Steve Mike-Mayer kick),7,0
1,3.0,49ers,Tom Mitchell 6 yard pass from Jim Plunkett (run failed),13,0
2,3.0,49ers,Steve Mike-Mayer 18 yard field goal,16,0
