,Quarter,Tm,Detail,NWE,NYJ
0,1.0,Jets,Pat Leahy 19 yard field goal,0,3
1,1.0,Jets,Greg Buttle 23 yard defensive fumble return (Pat Leahy kick),0,10
2,1.0,Patriots,Andy Johnson 15 yard pass from Steve Grogan (John Smith kick),7,10
3,1.0,Patriots,Darryl Stingley 17 yard pass from Steve Grogan (John Smith kick),14,10
4,2.0,Patriots,Prentice McCray 63 yard interception return (John Smith kick),21,10
5,2.0,Jets,Jerome Barkum 11 yard pass from Joe Namath (Pat Leahy kick),21,17
6,3.0,Patriots,Prentice McCray 55 yard interception return (John Smith kick),28,17
7,4.0,Patriots,Pete Brock 6 yard pass from Steve Grogan (John Smith kick),35,17
8,4.0,Patriots,John Smith 28 yard field goal,38,17
9,4.0,Jets,Clark Gaines 26 yard pass from Richard Todd (Pat Leahy kick),38,24
