,Quarter,Tm,Detail,PHI,SFO
0,1,Eagles,Roger Ruzek 34 yard field goal,3,0
1,1,Eagles,Byron Evans 30 yard defensive fumble return (Roger Ruzek kick),10,0
2,1,49ers,Mike Cofer 30 yard field goal,10,3
3,2,Eagles,Calvin Williams 13 yard pass from Bubby Brister (Roger Ruzek kick),17,3
4,2,Eagles,Mike Young 8 yard pass from Bubby Brister (Roger Ruzek kick),24,3
5,2,49ers,Jerry Rice 3 yard pass from Steve Young (Mike Cofer kick),24,10
6,3,49ers,Ricky Watters 11 yard rush (Mike Cofer kick),24,17
7,3,49ers,John Taylor 38 yard pass from Steve Young (Mike Cofer kick),24,24
8,3,Eagles,Herschel Walker 21 yard pass from Bubby Brister (Roger Ruzek kick),31,24
9,3,Eagles,Roger Ruzek 32 yard field goal,34,24
10,4,49ers,Steve Bono 1 yard rush (Mike Cofer kick),34,31
11,4,49ers,Mike Cofer 29 yard field goal,34,34
12,OT,Eagles,Roger Ruzek 28 yard field goal,37,34
