,Quarter,Time,Tm,Detail,DEN,NWE
0,2.0,7:25,Broncos,Jason Elam 23 yard field goal,3,0
1,2.0,0:50,Broncos,Javon Walker 32 yard pass from Jake Plummer (Jason Elam kick),10,0
2,4.0,13:03,Broncos,Javon Walker 83 yard pass from Jake Plummer (Jason Elam kick),17,0
3,4.0,9:13,Patriots,Doug Gabriel 8 yard pass from Tom Brady (Stephen Gostkowski kick),17,7
