,Quarter,Tm,Detail,RAM,DET
0,1.0,Rams,Dick Bass 9 yard rush (Danny Villanueva kick),7,0
1,2.0,Lions,Terry Barr 18 yard pass from Earl Morrall (Wayne Walker kick),7,7
2,2.0,Rams,Carroll Dale 66 yard pass from Roman Gabriel (Danny Villanueva kick),14,7
3,3.0,Lions,Jim Gibbons 32 yard pass from Earl Morrall (Wayne Walker kick),14,14
4,4.0,Lions,Terry Barr 20 yard pass from Earl Morrall (Wayne Walker kick),14,21
5,4.0,Rams,Carroll Dale 42 yard pass from Roman Gabriel (Danny Villanueva kick),21,21
6,4.0,Rams,Carroll Dale 51 yard pass from Roman Gabriel (Danny Villanueva kick),28,21
