,Quarter,Tm,Detail,RAM,BAL
0,1.0,Colts,Tom Matte 31 yard rush (Jim Martin kick),0,7
1,1.0,Colts,Jim Martin 12 yard field goal,0,10
2,2.0,Rams,Danny Villanueva 23 yard field goal,3,10
3,2.0,Colts,Jim Martin 24 yard field goal,3,13
4,3.0,Rams,Carroll Dale 11 yard pass from Roman Gabriel,9,13
5,4.0,Rams,Ben Wilson 77 yard pass from Roman Gabriel (Danny Villanueva kick),16,13
6,4.0,Colts,Tom Matte 14 yard pass from Johnny Unitas,16,19
