,Quarter,Time,Tm,Detail,SFO,TAM
0,1.0,,49ers,Gary Anderson 30 yard field goal,3,0
1,2.0,,49ers,Gary Anderson 40 yard field goal,6,0
2,3.0,,Buccaneers,Michael Husted 40 yard field goal,6,3
3,4.0,,Buccaneers,Dave Moore 1 yard pass from Trent Dilfer (Michael Husted kick),6,10
4,4.0,,Buccaneers,Michael Husted 34 yard field goal,6,13
