,Quarter,Time,Tm,Detail,SDG,NWE
0,1.0,,Patriots,Ben Coates 4 yard pass from Drew Bledsoe (Adam Vinatieri kick),0,7
1,1.0,,Patriots,Terry Glenn 25 yard pass from Drew Bledsoe (Adam Vinatieri kick),0,14
2,2.0,,Patriots,Adam Vinatieri 21 yard field goal,0,17
3,2.0,,Patriots,Sam Gash 12 yard pass from Drew Bledsoe (Adam Vinatieri kick),0,24
4,2.0,,Patriots,Keith Byars 2 yard pass from Drew Bledsoe (Adam Vinatieri kick),0,31
5,3.0,,Chargers,Freddie Jones 44 yard pass from Stan Humphries (John Carney kick),7,31
6,4.0,,Patriots,Adam Vinatieri 26 yard field goal,7,34
7,4.0,,Patriots,Willie Clay 53 yard interception return (Adam Vinatieri kick),7,41
