,Quarter,Time,Tm,Detail,CLE,SFO
0,2.0,13:34,49ers,Owen Pochman 38 yard field goal,0,3
1,2.0,0:00,49ers,Owen Pochman 44 yard field goal,0,6
2,3.0,9:13,49ers,Owen Pochman 46 yard field goal,0,9
3,4.0,14:56,49ers,Owen Pochman 36 yard field goal,0,12
4,4.0,10:42,Browns,Andre' Davis 2 yard pass from Kelly Holcomb (Phil Dawson kick),7,12
5,4.0,0:29,Browns,Andre' Davis 11 yard pass from Kelly Holcomb (pass failed),13,12
