,Quarter,Tm,Detail,PHI,MIN
0,1.0,Vikings,Sammy White 5 yard pass from Fran Tarkenton (Rick Danmeier kick),0,7
1,1.0,Eagles,Harold Carmichael 56 yard pass from Ron Jaworski (Mike Michel kick),7,7
2,1.0,Vikings,Sammy White 9 yard pass from Fran Tarkenton (Rick Danmeier kick),7,14
3,2.0,Eagles,Harold Carmichael 21 yard pass from Ron Jaworski (Mike Michel kick),14,14
4,2.0,Eagles,Wilbert Montgomery 36 yard rush (Mike Michel kick),21,14
5,2.0,Eagles,Charlie Smith 27 yard pass from Ron Jaworski,27,14
6,3.0,Vikings,Rickey Young 6 yard pass from Fran Tarkenton (Rick Danmeier kick),27,21
7,4.0,Vikings,Ahmad Rashad 20 yard pass from Fran Tarkenton (Rick Danmeier kick),27,28
