,Quarter,Time,Tm,Detail,TEN,CIN
0,1.0,10:24,Titans,Eddie George 23 yard rush (Al Del Greco kick),7,0
1,1.0,0:14,Titans,Steve McNair 1 yard rush (Al Del Greco kick),14,0
2,3.0,14:42,Bengals,Tremain Mack 99 yard kickoff return (Doug Pelfrey kick),14,7
3,3.0,7:05,Titans,Eddie George 14 yard rush (Al Del Greco kick),21,7
4,3.0,2:26,Titans,Al Del Greco 26 yard field goal,24,7
5,4.0,2:38,Bengals,Darnay Scott 24 yard pass from Jeff Blake (Doug Pelfrey kick),24,14
