,Quarter,Tm,Detail,ATL,CHI
0,1.0,Bears,Bob Thomas 40 yard field goal,0,3
1,2.0,Falcons,Nick Mike-Mayer 32 yard field goal,3,3
2,2.0,Falcons,Nick Mike-Mayer 44 yard field goal,6,3
3,3.0,Falcons,Nick Mike-Mayer 21 yard field goal,9,3
4,4.0,Falcons,Haskel Stanback 2 yard rush (Nick Mike-Mayer kick),16,3
5,4.0,Bears,Brian Baschnagel 84 yard kickoff return (Bob Thomas kick),16,10
