,Quarter,Time,Tm,Detail,SFO,ATL
0,1.0,,49ers,Ricky Watters 10 yard pass from Steve Young (Doug Brien kick),7,0
1,1.0,,49ers,Tim McDonald 49 yard defensive fumble return (Doug Brien kick),14,0
2,2.0,7:49,49ers,Jerry Rice 1 yard pass from Steve Young (Doug Brien kick),21,0
3,2.0,7:49,Falcons,Norm Johnson 34 yard field goal,21,3
4,2.0,7:49,49ers,Deion Sanders 93 yard interception return (Doug Brien kick),28,3
5,3.0,7:49,49ers,Brent Jones 7 yard pass from Steve Young (Doug Brien kick),35,3
6,3.0,7:49,49ers,Ricky Watters 4 yard pass from Steve Young (Doug Brien kick),42,3
