,Quarter,Tm,Detail,KAN,PIT
0,1.0,Steelers,John Stallworth 3 yard pass from Terry Bradshaw (Gary Anderson kick),0,7
1,1.0,Steelers,John Stallworth 74 yard pass from Terry Bradshaw (Gary Anderson kick),0,14
2,2.0,Steelers,Greg Hawthorne 5 yard pass from Terry Bradshaw (Gary Anderson kick),0,21
3,2.0,Chiefs,Billy Jackson 1 yard rush (Nick Lowery kick),7,21
4,2.0,Steelers,Franco Harris 1 yard rush (Gary Anderson kick),7,28
5,4.0,Chiefs,Willie Scott 3 yard pass from Steve Fuller (Nick Lowery kick),14,28
6,4.0,Steelers,Sidney Thornton 2 yard rush (Gary Anderson kick),14,35
