,Quarter,Tm,Detail,KAN,NWE
0,2.0,Chiefs,Willie Ellison 1 yard rush (Jan Stenerud kick),7,0
1,2.0,Chiefs,Jan Stenerud 33 yard field goal,10,0
2,4.0,Patriots,Sam Cunningham 1 yard rush (Bill Bell kick),10,7
