,Quarter,Tm,Detail,IND,CLE
0,1.0,Browns,Earnest Byner 10 yard pass from Bernie Kosar (Matt Bahr kick),0,7
1,1.0,Colts,Pat Beach 2 yard pass from Jack Trudeau (Dean Biasucci kick),7,7
2,2.0,Browns,Reggie Langhorne 39 yard pass from Bernie Kosar (Matt Bahr kick),7,14
3,2.0,Colts,Eric Dickerson 19 yard pass from Jack Trudeau (Dean Biasucci kick),14,14
4,3.0,Browns,Earnest Byner 2 yard rush (Matt Bahr kick),14,21
5,4.0,Browns,Matt Bahr 22 yard field goal,14,24
6,4.0,Browns,Brian Brennan 2 yard pass from Bernie Kosar (Matt Bahr kick),14,31
7,4.0,Colts,Albert Bentley 1 yard rush (Dean Biasucci kick),21,31
8,4.0,Browns,Frank Minnifield 48 yard interception return (Matt Bahr kick),21,38
