,Quarter,Tm,Detail,MIN,PIT
0,1.0,Vikings,Fred Cox 44 yard field goal,3,0
1,1.0,Steelers,Chet Anderson 20 yard pass from Dick Hoak (Mike Clark kick),3,7
2,2.0,Steelers,Mike Clark 47 yard field goal,3,10
3,2.0,Steelers,Mike Clark 26 yard field goal,3,13
4,2.0,Vikings,Dave Osborn 27 yard pass from Joe Kapp (Fred Cox kick),10,13
5,2.0,Vikings,John Beasley 2 yard pass from Joe Kapp (Fred Cox kick),17,13
6,3.0,Steelers,Roy Jefferson 12 yard pass from Bill Nelsen (Mike Clark kick),17,20
7,4.0,Vikings,Jim Hargrove special teams fumble recovery in end zone (Fred Cox kick),24,20
8,4.0,Vikings,Earsell Mackbee 32 yard interception return (Fred Cox kick),31,20
9,4.0,Vikings,Joe Kapp 11 yard rush (Fred Cox kick),38,20
10,4.0,Vikings,Fred Cox 34 yard field goal,41,20
11,4.0,Steelers,Ken Kortas 5 yard defensive fumble return (Mike Clark kick),41,27
