,Quarter,Tm,Detail,NYG,WAS
0,1,Giants,Will Walls 50 yard pass from Tuffy Leemans (Ward Cuff kick),7,0
1,2,Redskins,Bob Seymour 2 yard rush (Bob Masterson kick),7,7
2,3,Giants,Neal Adams 66 yard interception return (Ward Cuff kick),14,7
