,Quarter,Tm,Detail,HOU,NYG
0,1.0,Giants,Rodney Hampton 2 yard rush (Matt Bahr kick),0,7
1,2.0,Oilers,Al Del Greco 37 yard field goal,3,7
2,2.0,Giants,Howard Cross 12 yard pass from Phil Simms (Matt Bahr kick),3,14
3,2.0,Giants,Matt Bahr 54 yard field goal,3,17
4,2.0,Oilers,Al Del Greco 34 yard field goal,6,17
5,3.0,Giants,Lewis Tillman 4 yard rush (Matt Bahr kick),6,24
6,4.0,Oilers,Warren Moon 6 yard rush (Al Del Greco kick),13,24
7,4.0,Oilers,Ernest Givins 5 yard pass from Warren Moon (Al Del Greco kick),20,24
