,Quarter,Time,Tm,Detail,NWE,NYG
0,1.0,,Giants,"Safety, Bledsoe intentional grounding in end zone",0,2
1,2.0,,Giants,Charles Way 1 yard rush (Brad Daluiso kick),0,9
2,2.0,,Giants,Brad Daluiso 30 yard field goal,0,12
3,2.0,,Giants,Brad Daluiso 27 yard field goal,0,15
4,2.0,,Giants,Jason Sehorn 23 yard interception return (Brad Daluiso kick),0,22
5,3.0,,Patriots,Adam Vinatieri 40 yard field goal,3,22
6,4.0,,Patriots,Terry Glenn 26 yard pass from Drew Bledsoe (Adam Vinatieri kick),10,22
7,4.0,,Patriots,Dave Meggett 60 yard punt return (Adam Vinatieri kick),17,22
8,4.0,,Patriots,Ben Coates 13 yard pass from Drew Bledsoe (pass failed),23,22
