,Quarter,Tm,Detail,DAL,PIT
0,2.0,Steelers,Franco Harris 1 yard rush (Matt Bahr kick),0,7
1,2.0,Cowboys,Rafael Septien 32 yard field goal,3,7
2,3.0,Steelers,Franco Harris 48 yard rush (Matt Bahr kick),3,14
