,Quarter,Tm,Detail,BKN,PHI
0,1.0,Eagles,Vic Lindskog 65 yard interception return (Roy Zimmerman kick),0,7
1,2.0,Eagles,Ernie Steele 24 yard rush,0,13
2,3.0,Eagles,Larry Cabrelli 30 yard pass from Roy Zimmerman (Roy Zimmerman kick),0,20
3,3.0,Eagles,Allie Sherman 3 yard rush (Roy Zimmerman kick),0,27
4,4.0,Eagles,Jack Banta 60 yard rush (Roy Zimmerman kick),0,34
