,Quarter,Tm,Detail,BUF,AKR
0,2.0,Pros,Carl Cramer 35 yard field goal,0,3
1,3.0,Pros,Wayne Brenkert 18 yard rush,0,9
2,4.0,Pros,Wayne Brenkert 36 yard rush (Walt Sechrist kick),0,16
3,4.0,Pros,Sol Butler 18 yard rush,0,22
