,Quarter,Time,Tm,Detail,TEN,HOU
0,1.0,12:13,Texans,Lamar Miller 2 yard rush (Ka'imi Fairbairn kick),0,7
1,1.0,5:09,Texans,DeAndre Hopkins 8 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),0,14
2,2.0,14:54,Texans,Will Fuller 16 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),0,21
3,2.0,11:44,Titans,Marcus Mariota 34 yard rush (Ryan Succop kick),7,21
4,2.0,6:01,Texans,Ka'imi Fairbairn 50 yard field goal,7,24
5,2.0,1:50,Titans,Marcus Mariota 2 yard rush (Ryan Succop kick),14,24
6,2.0,1:19,Texans,Deshaun Watson 1 yard rush (Ka'imi Fairbairn kick failed),14,30
7,3.0,6:51,Texans,Will Fuller 10 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),14,37
8,4.0,11:19,Texans,Lamar Miller 8 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),14,44
9,4.0,8:39,Texans,Ka'imi Fairbairn 40 yard field goal,14,47
10,4.0,8:31,Texans,Dylan Cole 25 yard interception return (Ka'imi Fairbairn kick),14,54
11,4.0,3:34,Texans,Ka'imi Fairbairn 33 yard field goal,14,57
