,Quarter,Tm,Detail,DET,GNB
0,1.0,Packers,Fred Cone 16 yard field goal,0,3
1,2.0,Lions,Doak Walker 13 yard field goal,3,3
2,3.0,Lions,Leon Hart 24 yard pass from Bobby Layne (Doak Walker kick),10,3
3,4.0,Lions,Leon Hart 17 yard pass from Bobby Layne (Doak Walker kick),17,3
4,4.0,Packers,Fred Cone 1 yard rush (Fred Cone kick),17,10
5,4.0,Lions,Doak Walker 47 yard pass from Bobby Layne (Doak Walker kick),24,10
6,4.0,Packers,Jug Girard 15 yard pass from Bobby Thomason (Fred Cone kick),24,17
