,Quarter,Time,Tm,Detail,JAX,IND
0,1.0,7:02,Jaguars,DJ Chark 34 yard pass from Nick Foles (Josh Lambo kick),7,0
1,1.0,0:45,Colts,Marlon Mack 13 yard rush (Adam Vinatieri kick),7,7
2,2.0,8:30,Colts,Adam Vinatieri 34 yard field goal,7,10
3,3.0,8:54,Colts,Marcus Johnson 1 yard pass from Jacoby Brissett (Adam Vinatieri kick),7,17
4,3.0,1:04,Colts,Jacoby Brissett 5 yard rush (Adam Vinatieri kick),7,24
5,4.0,12:46,Colts,Nyheim Hines 7 yard rush (Adam Vinatieri kick),7,31
6,4.0,1:05,Jaguars,DJ Chark 20 yard pass from Nick Foles (pass failed),13,31
7,4.0,1:05,Colts,Bobby Okereke defensive extra point return,13,33
