,Quarter,Tm,Detail,HOU,MIA
0,1.0,Dolphins,Uwe von Schamann 32 yard field goal,0,3
1,2.0,Oilers,Toni Fritsch 46 yard field goal,3,3
2,3.0,Oilers,Toni Fritsch 48 yard field goal,6,3
3,3.0,Oilers,Toni Fritsch 39 yard field goal,9,3
4,4.0,Dolphins,Uwe von Schamann 51 yard field goal,9,6
