,Quarter,Tm,Detail,OOR,COL
0,1.0,Tigers,Bob Rapp 70 yard pass from Sonny Winters (Gus Tebell kick),0,7
1,1.0,Indians,Jim Thorpe 47 yard field goal,3,7
2,1.0,Tigers,Gus Sonnenberg 1 yard rush,3,13
3,2.0,Tigers,Gus Tebell unknown yard pass from (Gus Tebell kick),3,20
4,2.0,Tigers,Gus Tebell unknown yard pass from Sonny Winters (Gus Tebell kick),3,27
