,Quarter,Tm,Detail,DUL,CLE
0,1,Bulldogs,Carl Bacchus 30 yard pass from Benny Friedman (Benny Friedman kick),0,7
1,2,Bulldogs,Frank Kelley unknown yard rush (Benny Friedman kick),0,14
2,3,Bulldogs,Herb DeWitz unknown yard pass from Benny Friedman,0,20
