,Quarter,Time,Tm,Detail,CLE,DET
0,1.0,11:28,Browns,Phil Dawson 44 yard field goal,3,0
1,1.0,9:13,Lions,Jason Hanson 31 yard field goal,3,3
2,1.0,8:56,Browns,Mohamed Massaquoi 59 yard pass from Brady Quinn (Phil Dawson kick),10,3
3,1.0,4:03,Browns,Chansi Stuckey 40 yard pass from Brady Quinn (Phil Dawson kick),17,3
4,1.0,2:52,Browns,Josh Cribbs 4 yard pass from Brady Quinn (Phil Dawson kick),24,3
5,1.0,0:30,Lions,Aaron Brown 26 yard pass from Matthew Stafford (Jason Hanson kick),24,10
6,2.0,11:44,Lions,Kevin Smith 25 yard pass from Matthew Stafford (Jason Hanson kick),24,17
7,2.0,5:01,Lions,Calvin Johnson 75 yard pass from Matthew Stafford (Jason Hanson kick),24,24
8,2.0,0:02,Browns,Phil Dawson 29 yard field goal,27,24
9,3.0,2:47,Lions,Will Heller 1 yard pass from Matthew Stafford (Jason Hanson kick),27,31
10,3.0,0:41,Browns,"Safety, Penalty on Matthew Stafford enforced in end zone for a Safety.",29,31
11,4.0,5:44,Browns,Michael Gaines 2 yard pass from Brady Quinn (Jamal Lewis run),37,31
12,4.0,0:00,Lions,Brandon Pettigrew 1 yard pass from Matthew Stafford (Jason Hanson kick),37,38
