,Quarter,Time,Tm,Detail,CHI,TAM
0,1.0,6:27,Buccaneers,Doug Martin 4 yard rush (Connor Barth kick),0,7
1,2.0,11:35,Bears,Ka'Deem Carey 1 yard rush (Robbie Gould kick),7,7
2,2.0,3:00,Bears,Robbie Gould 26 yard field goal,10,7
3,2.0,0:08,Bears,Robbie Gould 27 yard field goal,13,7
4,3.0,11:24,Buccaneers,Charles Sims 50 yard pass from Jameis Winston (Connor Barth kick),13,14
5,4.0,14:55,Bears,Ka'Deem Carey 1 yard pass from Jay Cutler (Robbie Gould kick),20,14
6,4.0,9:04,Bears,Robbie Gould 50 yard field goal,23,14
7,4.0,1:07,Bears,Robbie Gould 39 yard field goal,26,14
8,4.0,0:01,Buccaneers,Austin Seferian-Jenkins 43 yard pass from Jameis Winston (Connor Barth kick),26,21
