,Quarter,Time,Tm,Detail,MIA,DEN
0,1.0,3:01,Dolphins,Marty Booker 8 yard pass from A.J. Feeley (Olindo Mare kick),7,0
1,2.0,13:08,Broncos,Tatum Bell 7 yard rush (Jason Elam kick),7,7
2,2.0,8:38,Dolphins,Sammy Morris 11 yard rush (Olindo Mare kick),14,7
3,2.0,1:21,Broncos,Tatum Bell 11 yard rush (Jason Elam kick),14,14
4,3.0,12:44,Broncos,Jason Elam 20 yard field goal,14,17
5,3.0,4:34,Dolphins,Olindo Mare 32 yard field goal,17,17
6,4.0,2:50,Broncos,Jason Elam 50 yard field goal,17,20
