,Quarter,Tm,Detail,KAN,ATL
0,2.0,Chiefs,Jan Stenerud 28 yard field goal,3,0
1,2.0,Falcons,Art Malone 1 yard rush (Bill Bell kick),3,7
2,3.0,Chiefs,Otis Taylor 15 yard pass from Len Dawson (Jan Stenerud kick),10,7
3,4.0,Falcons,Ken Burrow 17 yard pass from Bob Berry (Bill Bell kick),10,14
4,4.0,Chiefs,Ed Podolak 7 yard pass from Len Dawson (Jan Stenerud kick),17,14
