,Quarter,Tm,Detail,DEN,SFO
0,1.0,Broncos,Jim Turner 32 yard field goal,3,0
1,2.0,49ers,Paul Hofer 1 yard rush (Ray Wersching kick),3,7
2,2.0,Broncos,Rick Upchurch 13 yard pass from Craig Morton (Jim Turner kick),10,7
3,2.0,49ers,James Owens 85 yard kickoff return (Ray Wersching kick),10,14
4,2.0,49ers,Wilbur Jackson 1 yard rush (Ray Wersching kick),10,21
5,2.0,Broncos,Otis Armstrong 12 yard pass from Craig Morton (Jim Turner kick),17,21
6,3.0,Broncos,Jon Keyworth 5 yard rush (Jim Turner kick),24,21
7,3.0,Broncos,Riley Odoms 9 yard pass from Craig Morton (Jim Turner kick),31,21
8,3.0,Broncos,Bob Swenson 88 yard defensive fumble return (Jim Turner kick),38,21
9,4.0,49ers,Bob Bruer 16 yard pass from Joe Montana (Ray Wersching kick),38,28
