,Quarter,Time,Tm,Detail,IND,ATL
0,1.0,,Colts,Marshall Faulk 11 yard pass from Peyton Manning (Mike Vanderjagt kick),7,0
1,1.0,,Colts,Torrance Small 30 yard pass from Peyton Manning (Mike Vanderjagt kick),14,0
2,1.0,,Falcons,Tony Martin 40 yard pass from Chris Chandler (Morten Andersen kick),14,7
3,2.0,,Colts,Marshall Faulk 3 yard rush (Mike Vanderjagt kick),21,7
4,2.0,1:25,Falcons,Jamal Anderson 1 yard rush (Morten Andersen kick),21,14
5,2.0,0:05,Falcons,Chris Chandler 3 yard rush (Morten Andersen kick),21,21
6,3.0,0:05,Falcons,Terance Mathis 3 yard pass from Chris Chandler (Morten Andersen kick),21,28
