,Quarter,Tm,Detail,SFO,NOR
0,1.0,49ers,Manfred Moore 3 yard rush (Bruce Gossett kick),7,0
1,2.0,Saints,Joel Parker 4 yard pass from Archie Manning (Bill McClard kick),7,7
2,2.0,Saints,Bill McClard 23 yard field goal,7,10
3,3.0,49ers,Bruce Gossett 19 yard field goal,10,10
4,3.0,Saints,Bill McClard 31 yard field goal,10,13
5,4.0,49ers,Sammy Johnson 9 yard rush (Bruce Gossett kick),17,13
