,Quarter,Time,Tm,Detail,PIT,JAX
0,1.0,,Jaguars,Natrone Means 1 yard rush (Mike Hollis kick),0,7
1,1.0,,Steelers,Kordell Stewart 6 yard rush (Norm Johnson kick),7,7
2,2.0,,Jaguars,Jimmy Smith 11 yard pass from Mark Brunell (Mike Hollis kick),7,14
3,2.0,,Jaguars,Mike Hollis 20 yard field goal,7,17
4,3.0,,Steelers,Yancey Thigpen 4 yard pass from Kordell Stewart (Norm Johnson kick),14,17
5,3.0,,Jaguars,Mike Hollis 45 yard field goal,14,20
6,4.0,3:25,Steelers,Mark Bruener 1 yard pass from Kordell Stewart (Norm Johnson kick),21,20
7,4.0,3:25,Jaguars,Mike Hollis 27 yard field goal,21,23
8,4.0,3:25,Jaguars,Chris Hudson 58 yard blocked field goal return (Mike Hollis kick),21,30
