,Quarter,Tm,Detail,SDG,DET
0,1.0,Lions,Jesse Thompson 2 yard pass from Gary Danielson (Benny Ricardo kick),0,7
1,1.0,Chargers,Lydell Mitchell 55 yard pass from Dan Fouts (Rolf Benirschke kick),7,7
2,1.0,Lions,Benny Ricardo 22 yard field goal,7,10
3,1.0,Lions,Lawrence Gaines 1 yard rush (Benny Ricardo kick),7,17
4,2.0,Lions,Dexter Bussey 18 yard pass from Gary Danielson (Benny Ricardo kick),7,24
5,2.0,Lions,Jesse Thompson 6 yard pass from Gary Danielson (Benny Ricardo kick),7,31
6,4.0,Chargers,Charlie Joiner 25 yard pass from James Harris (Rolf Benirschke kick),14,31
