,Quarter,Tm,Detail,WAS,GNB
0,1.0,Redskins,Dan Sandifer 96 yard kickoff return,6,0
1,1.0,Packers,Clyde Goodnight 14 yard pass from Jack Jacobs (Ed Cody kick),6,7
2,2.0,Redskins,Tom Farmer 1 yard rush (Dick Poillon kick),13,7
3,4.0,Redskins,Dick Todd 16 yard rush (Dick Poillon kick),20,7
4,4.0,Redskins,Dick Poillon 18 yard field goal,23,7
