,Quarter,Tm,Detail,GNB,SIS
0,2.0,Stapletons,Stu Wilson 21 yard field goal,0,3
1,3.0,Packers,Clarke Hinkle 4 yard rush (Clarke Hinkle kick),7,3
2,4.0,Packers,Wuert Engelmann 55 yard interception return (Roger Grove kick),14,3
3,4.0,Packers,Johnny Blood 45 yard interception return (Roger Grove kick),21,3
