,Quarter,Tm,Detail,RAM,SFO
0,1.0,49ers,Ray Wersching 30 yard field goal,0,3
1,1.0,49ers,Jerry Rice 44 yard pass from Joe Montana (Ray Wersching kick),0,10
2,2.0,Rams,Eric Dickerson 15 yard rush (Mike Lansford kick),7,10
3,2.0,49ers,Joe Cribbs 2 yard rush (Ray Wersching kick),7,17
4,3.0,49ers,Russ Francis 1 yard pass from Joe Montana (Ray Wersching kick),7,24
5,4.0,Rams,Mike Young 13 yard pass from Jim Everett (Mike Lansford kick),14,24
