,Quarter,Tm,Detail,NOR,DAL
0,1.0,Cowboys,Calvin Hill 7 yard rush (Toni Fritsch kick),0,7
1,1.0,Cowboys,"Safety, ONeal tackled by B. Barnes in end zone",0,9
2,1.0,Cowboys,Toni Fritsch 27 yard field goal,0,12
3,2.0,Saints,Happy Feller 9 yard field goal,3,12
4,3.0,Cowboys,Robert Newhouse 3 yard rush (Toni Fritsch kick),3,19
5,3.0,Cowboys,Robert Newhouse 2 yard pass from Roger Staubach (Toni Fritsch kick),3,26
6,3.0,Cowboys,Mike Montgomery 7 yard pass from Craig Morton (Toni Fritsch kick),3,33
7,4.0,Cowboys,Les Strayhorn 1 yard rush (Toni Fritsch kick),3,40
