,Quarter,Tm,Detail,GNB,HOU
0,2.0,Packers,Jon Staggers 85 yard punt return (Chester Marcol kick),7,0
1,2.0,Oilers,Paul Robinson 1 yard rush (Skip Butler kick),7,7
2,2.0,Packers,Dave Davis 68 yard pass from Ron Widby (Chester Marcol kick),14,7
3,4.0,Oilers,Skip Butler 13 yard field goal,14,10
4,4.0,Packers,MacArthur Lane 36 yard rush (Chester Marcol kick),21,10
5,4.0,Packers,"Safety, Pastorini tackled by Brown in end zone",23,10
