,Quarter,Tm,Detail,DET,RAM
0,1.0,Lions,Altie Taylor 2 yard rush (Errol Mann kick),7,0
1,2.0,Rams,David Ray 15 yard field goal,7,3
2,2.0,Lions,Steve Owens 6 yard rush (Errol Mann kick),14,3
3,3.0,Rams,David Ray 21 yard field goal,14,6
4,3.0,Lions,Earl McCullouch 26 yard pass from Greg Landry (Errol Mann kick),21,6
5,4.0,Rams,Larry Smith 17 yard pass from Roman Gabriel (David Ray kick),21,13
6,4.0,Rams,David Ray 29 yard field goal,21,16
7,4.0,Lions,Steve Owens 4 yard rush (Errol Mann kick),28,16
8,4.0,Rams,Billy Truax 5 yard pass from Roman Gabriel (David Ray kick),28,23
