,Quarter,Tm,Detail,GNB,SDG
0,2.0,Packers,Terdell Middleton 13 yard rush (Chester Marcol kick),7,0
1,3.0,Packers,Walter Landers 15 yard blocked punt return (Chester Marcol kick),14,0
2,3.0,Chargers,Rolf Benirschke 43 yard field goal,14,3
3,3.0,Packers,Chester Marcol 37 yard field goal,17,3
4,4.0,Packers,Willie Buchanon 77 yard interception return (Chester Marcol kick),24,3
