,Quarter,Time,Tm,Detail,HOU,NYJ
0,1.0,1:25,Jets,Mike Nugent 23 yard field goal,0,3
1,2.0,9:46,Jets,Mike Nugent 34 yard field goal,0,6
2,2.0,4:59,Texans,Kris Brown 47 yard field goal,3,6
3,2.0,1:09,Jets,Mike Nugent 54 yard field goal,3,9
4,3.0,9:00,Jets,Laveranues Coles 12 yard pass from Chad Pennington (Mike Nugent kick),3,16
5,3.0,3:33,Jets,Cedric Houston 1 yard rush (Mike Nugent kick),3,23
6,4.0,8:05,Jets,Mike Nugent 40 yard field goal,3,26
7,4.0,3:54,Texans,Andre Johnson 3 yard pass from David Carr (Wali Lundy pass from David Carr),11,26
