,Quarter,Tm,Detail,FRN,POT
0,2.0,Yellow Jackets,Charley Rogers 7 yard pass from Ken Mercer,6,0
1,2.0,Yellow Jackets,Charley Rogers 5 yard rush,12,0
2,2.0,Yellow Jackets,Arnie Oehlrich 18 yard pass from Wally Diehl,18,0
3,4.0,Yellow Jackets,Wally Diehl 40 yard interception return,24,0
