,Quarter,Tm,Detail,SFO,CHI
0,1.0,Bears,Johnny Morris 73 yard pass from Billy Wade (Roger LeClerc kick),0,7
1,1.0,49ers,Tommy Davis 42 yard field goal,3,7
2,1.0,49ers,Abe Woodson 37 yard defensive fumble return (Tommy Davis kick),10,7
3,1.0,Bears,Roger LeClerc 22 yard field goal,10,10
4,2.0,Bears,Bo Farrington 35 yard pass from Rick Casares (Roger LeClerc kick),10,17
5,2.0,49ers,J.D. Smith 5 yard rush (Tommy Davis kick),17,17
6,2.0,49ers,J.D. Smith 4 yard rush (Tommy Davis kick),24,17
7,3.0,Bears,Roger LeClerc 10 yard field goal,24,20
8,3.0,49ers,Tommy Davis 24 yard field goal,27,20
9,4.0,Bears,Joe Marconi 46 yard pass from Billy Wade (Roger LeClerc kick),27,27
10,4.0,49ers,Jimmy Johnson 80 yard pass from John Brodie (Tommy Davis kick),34,27
