,Quarter,Time,Tm,Detail,BUF,NYJ
0,1.0,,Jets,John Hall 26 yard field goal,0,3
1,2.0,,Jets,Dedric Ward 19 yard pass from Neil O'Donnell (John Hall kick),0,10
2,2.0,,Bills,Thurman Thomas 2 yard rush (Steve Christie kick),7,10
3,2.0,,Bills,Andre Reed 10 yard pass from Todd Collins (Steve Christie kick),14,10
4,2.0,,Jets,John Hall 19 yard field goal,14,13
5,3.0,,Bills,Quinn Early 37 yard pass from Todd Collins (Steve Christie kick),21,13
6,3.0,7:23,Jets,Aaron Glenn 96 yard kickoff return (run failed),21,19
7,4.0,7:23,Jets,John Hall 52 yard field goal,21,22
8,4.0,7:23,Bills,Jay Riemersma 10 yard pass from Todd Collins (Steve Christie kick),28,22
